Date,Sales,year,month,quarter,month_sin,month_cos,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6
2017-05-31,56656.908,2017,5,2,0.49999999999999994,-0.8660254037844387,38679.767,51165.059,22978.815,37607.880333333334,46859.85545
2017-06-30,39724.486,2017,6,2,1.2246467991473532e-16,-1.0,56656.908,38679.767,51165.059,48833.91133333333,43761.10686666667
2017-07-31,38320.783,2017,7,3,-0.4999999999999997,-0.8660254037844388,39724.486,56656.908,38679.767,45020.386999999995,37957.920999999995
2017-08-31,30542.2003,2017,8,3,-0.8660254037844385,-0.5000000000000004,38320.783,39724.486,56656.908,44900.72566666667,41254.30300000001
2017-09-30,69193.3909,2017,9,3,-1.0,-1.8369701987210297e-16,30542.2003,38320.783,39724.486,36195.8231,42514.86721666667
2017-10-31,59583.033,2017,10,4,-0.8660254037844386,0.5000000000000001,69193.3909,30542.2003,38320.783,46018.791399999995,45519.589199999995
2017-11-30,79066.4958,2017,11,4,-0.5000000000000004,0.8660254037844384,59583.033,69193.3909,30542.2003,53106.208066666666,49003.46686666666
2017-12-31,95739.121,2017,12,4,-2.4492935982947064e-16,1.0,79066.4958,59583.033,69193.3909,69280.97323333334,52738.39816666667
2018-01-31,43476.474,2018,1,1,0.49999999999999994,0.8660254037844387,95739.121,79066.4958,59583.033,78129.54993333334,62074.170666666665
2018-02-28,19920.9974,2018,2,1,0.8660254037844386,0.5000000000000001,43476.474,95739.121,79066.4958,72760.69693333334,62933.45249999999
2018-03-31,58863.4128,2018,3,1,1.0,6.123233995736766e-17,19920.9974,43476.474,95739.121,53045.5308,61163.25201666667
2018-04-30,35541.9101,2018,4,2,0.8660254037844387,-0.4999999999999998,58863.4128,19920.9974,43476.474,40753.628066666664,59441.58900000001
2018-05-31,43825.9822,2018,5,2,0.49999999999999994,-0.8660254037844387,35541.9101,58863.4128,19920.9974,38108.77343333333,55434.73518333334
2018-06-30,48190.7277,2018,6,2,1.2246467991473532e-16,-1.0,43825.9822,35541.9101,58863.4128,46077.1017,49561.31625
2018-07-31,44825.104,2018,7,3,-0.4999999999999997,-0.8660254037844388,48190.7277,43825.9822,35541.9101,42519.54,41636.58403333334
2018-08-31,62837.848,2018,8,3,-0.8660254037844385,-0.5000000000000004,44825.104,48190.7277,43825.9822,45613.93796666667,41861.3557
2018-09-30,86152.888,2018,9,3,-1.0,-1.8369701987210297e-16,62837.848,44825.104,48190.7277,51951.22656666666,49014.16413333333
2018-10-31,77448.1312,2018,10,4,-0.8660254037844386,0.5000000000000001,86152.888,62837.848,44825.104,64605.280000000006,53562.41
2018-11-30,117938.155,2018,11,4,-0.5000000000000004,0.8660254037844384,77448.1312,86152.888,62837.848,75479.62240000001,60546.78018333333
2018-12-31,83030.3888,2018,12,4,-2.4492935982947064e-16,1.0,117938.155,77448.1312,86152.888,93846.39140000001,72898.80898333334
